Rental Id,Duration,Bike Id,End Date,EndStation Id,EndStation Name,Start Date,StartStation Id,StartStation Name,,
129019496,05/03/2023 23:55,300031,"Islington Green, Angel",05/03/2023 23:59,001057,"Hardwick Street, Clerkenwell",54145,CLASSIC,4m 7s,247187
129019497,05/03/2023 23:55,300208,"Lavington Street, Bankside",05/03/2023 23:56,000963,"Bankside Mix, Bankside",57580,CLASSIC,53s,53549
129019498,05/03/2023 23:55,002680,"Harrowby Street, Marylebone",06/03/2023 00:18,200021,"Hermitage Court, Wapping",60351,PBSC_EBIKE,23m 34s,1414163
129019499,05/03/2023 23:55,200190,"Queen's Circus, Battersea Park",06/03/2023 00:00,300045,"Albert Bridge Road, Battersea Park",59814,CLASSIC,4m 8s,248262
129019492,05/03/2023 23:54,022170,"Kennington Station, Kennington",06/03/2023 00:03,200223,"Ashmole Estate, Oval",60131,PBSC_EBIKE,8m 55s,535117
129019493,05/03/2023 23:54,003483,"Fashion Street, Whitechapel",06/03/2023 00:04,001020,"Leonard Circus , Shoreditch",52380,CLASSIC,9m 53s,593792
129019494,05/03/2023 23:54,200142,"Hammersmith Road, Hammersmith",06/03/2023 00:27,001134,"Warwick Road, Olympia",57538,CLASSIC,32m 44s,1964874
129019491,05/03/2023 23:53,002635,"Concert Hall Approach 1, South Bank",06/03/2023 00:01,001053,"Clerkenwell Green, Clerkenwell",60580,PBSC_EBIKE,8m 8s,488455
129019484,05/03/2023 23:52,001038,"Harrington Square 1, Camden Town",06/03/2023 00:08,022163,"Southwark Station 2, Southwark",59712,CLASSIC,15m 49s,949603
129019485,05/03/2023 23:52,003447,"Gloucester Road (North), Kensington",06/03/2023 00:04,300101,"Little Brook Green, Brook Green",53732,CLASSIC,11m 59s,719400
,,,,,,,,,,
,,,,,,,,,,
Number,Start date,Start station,Start station number,End date,End station,End station number,Bike number,Bike model,Total duration,Total duration (ms)
150414646,15/07/2025 23:59,"Broadwick Street, Soho",003489,16/07/2025 00:16,"Brunswick Square, Bloomsbury",001022,54815,CLASSIC,17m 1s,1021831
150414647,15/07/2025 23:59,"Halford Road, West Kensington",300210,16/07/2025 00:36,"Clerkenwell Green, Clerkenwell",001053,57260,CLASSIC,36m 47s,2207917
150414648,15/07/2025 23:59,"Saunders Ness Road, Cubitt Town",200022,16/07/2025 00:32,"Bermondsey Station, Bermondsey",300253,21433,CLASSIC,33m 14s,1994268
150414649,15/07/2025 23:59,"Westferry Circus, Canary Wharf",300228,16/07/2025 00:46,"Richmond Way, Shepherd's Bush",200181,62691,PBSC_EBIKE,46m 31s,2791990
150414644,15/07/2025 23:58,"West Kensington Station, West Kensington",300020,16/07/2025 00:03,"Aintree Street, Fulham",200098,58096,CLASSIC,5m 27s,327773
150414645,15/07/2025 23:58,"Flamborough Street, Limehouse",200115,16/07/2025 00:05,"Philpot Street, Whitechapel",200033,40285,CLASSIC,6m 52s,412256
150414641,15/07/2025 23:57,"Birkenhead Street, King's Cross",300212,16/07/2025 00:03,"York Way, Kings Cross",300235,20088,CLASSIC,6m 17s,377151
